"Brand_Reg","Model_No","SoldIn","Country","screensize","Screen_Area","Screen_Tech","Pasv_stnd_power","Avg_mode_power","Labelled energy consumption (kWh/year)","SubmitStatus","Product Class","Availability Status","Star2","Star Rating Index","Power supply","Brand_Reg_Upper","screensize_by_inches","Screensize category"
"SAMSUNG ELECTRONICS","UA55DUE800S","Australia,Fiji,New Zealand","Vietnam",138.783,8230.118400000001,"LCD (LED)","0.5",97,357,"Approved","Single product class","Available",4.5,4.803028047916603,"Internal","SAMSUNG ELECTRONICS",54.63897637795275,"50 inch"
"SAMSUNG ELECTRONICS","UA55DUE800*","Australia,Fiji,New Zealand","Vietnam",138.783,8230.118400000001,"LCD (LED)","0.5",97,357,"Approved","Single product class","Available",4.5,4.803028047916603,"Internal","SAMSUNG ELECTRONICS",54.63897637795275,"50 inch"
"SAMSUNG ELECTRONICS","UA65DUE800W","Australia,Fiji,New Zealand","Vietnam",163.897,11477.9975,"LCD (LED)","0.5",122,448,"Approved","Single product class","Available",5,5.175587070514531,"Internal","SAMSUNG ELECTRONICS",64.52637795275591,"60 inch"
"SAMSUNG ELECTRONICS","UA65DUE800S","Australia,Fiji,New Zealand","Vietnam",163.897,11477.9975,"LCD (LED)","0.5",122,448,"Approved","Single product class","Available",5,5.175587070514531,"Internal","SAMSUNG ELECTRONICS",64.52637795275591,"60 inch"
"SAMSUNG ELECTRONICS","UA65DUE800*","Australia,Fiji,New Zealand","Vietnam",163.897,11477.9975,"LCD (LED)","0.5",122,448,"Approved","Single product class","Available",5,5.175587070514531,"Internal","SAMSUNG ELECTRONICS",64.52637795275591,"60 inch"
"SAMSUNG ELECTRONICS","UA75DUE800W","Australia,Fiji,New Zealand","Vietnam",189.338,15318.8066,"LCD (LED)","0.5",163,598,"Approved","Single product class","Available",5,5.109839076877291,"Internal","SAMSUNG ELECTRONICS",74.54251968503937,"70+ inch"
"SAMSUNG ELECTRONICS","UA85DUE800W","Australia,Fiji,New Zealand","Vietnam",214.783,19712.16,"LCD (LED)","0.5",195,715,"Approved","Single product class","Available",5,5.395176710303825,"Internal","SAMSUNG ELECTRONICS",84.56023622047243,"70+ inch"
"AIWA","AWS700W","Australia","China",176.563,13320.853056,"LCD (LED)","0.28",140.89,576,"Approved","Single product class","Available",4.5,4.68082480321312,"Internal","AIWA",69.51299212598424,"70+ inch"
"Kogan","KAQL85T96QA","Australia,Fiji,New Zealand","China,Vietnam",215.329,19712.159766,"LCD (LED)","-",280.55,1090,"Approved","Single product class","Available",3.5,3.5055839279471974,"Internal","KOGAN",84.7751968503937,"70+ inch"
"Kogan","KAQL85T96QB","Australia,Fiji,New Zealand","China,Vietnam",215.329,19712.159766,"LCD (LED)","-",280.55,1090,"Approved","Single product class","Available",3.5,3.5055839279471974,"Internal","KOGAN",84.7751968503937,"70+ inch"
"Kogan","KAQL85T96QC","Australia,Fiji,New Zealand","China,Vietnam",215.329,19712.159766,"LCD (LED)","-",280.55,1090,"Approved","Single product class","Available",3.5,3.5055839279471974,"Internal","KOGAN",84.7751968503937,"70+ inch"
"Kogan","KAQL85T96QD","Australia,Fiji,New Zealand","China,Vietnam",215.329,19712.159766,"LCD (LED)","-",280.55,1090,"Approved","Single product class","Available",3.5,3.5055839279471974,"Internal","KOGAN",84.7751968503937,"70+ inch"
